"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"02.01.2023 17:45 - 02.01.2023 18:00","n/e","n/e","n/e","1534","1753","1779"
"02.01.2023 18:00 - 02.01.2023 18:15","n/e","n/e","n/e","1635","1831","1832"
"02.01.2023 18:15 - 02.01.2023 18:30","n/e","n/e","n/e","1715","1896","1904"
"02.01.2023 18:30 - 02.01.2023 18:45","n/e","n/e","n/e","1787","1956","1976"
"02.01.2023 18:45 - 02.01.2023 19:00","n/e","n/e","n/e","1852","2011","2043"
"02.01.2023 19:00 - 02.01.2023 19:15","n/e","n/e","n/e","1921","2071","2145"
"02.01.2023 19:15 - 02.01.2023 19:30","n/e","n/e","n/e","1976","2119","2191"
"02.01.2023 19:30 - 02.01.2023 19:45","n/e","n/e","n/e","2027","2164","2233"
"02.01.2023 19:45 - 02.01.2023 20:00","n/e","n/e","n/e","2076","2208","2273"
"02.01.2023 20:00 - 02.01.2023 20:15","n/e","n/e","n/e","2131","2251","2400"
"02.01.2023 20:15 - 02.01.2023 20:30","n/e","n/e","n/e","2174","2297","2416"
"02.01.2023 20:30 - 02.01.2023 20:45","n/e","n/e","n/e","2213","2345","2433"
"02.01.2023 20:45 - 02.01.2023 21:00","n/e","n/e","n/e","2248","2394","2449"
"02.01.2023 21:00 - 02.01.2023 21:15","n/e","n/e","n/e","2289","2457","2682"
"02.01.2023 21:15 - 02.01.2023 21:30","n/e","n/e","n/e","2315","2493","2673"
"02.01.2023 21:30 - 02.01.2023 21:45","n/e","n/e","n/e","2336","2519","2665"
"02.01.2023 21:45 - 02.01.2023 22:00","n/e","n/e","n/e","2353","2534","2659"
"02.01.2023 22:00 - 02.01.2023 22:15","n/e","n/e","n/e","2371","2554","2886"
"02.01.2023 22:15 - 02.01.2023 22:30","n/e","n/e","n/e","2382","2552","2856"
"02.01.2023 22:30 - 02.01.2023 22:45","n/e","n/e","n/e","2391","2544","2828"
"02.01.2023 22:45 - 02.01.2023 23:00","n/e","n/e","n/e","2398","2530","2802"
"02.01.2023 23:00 - 02.01.2023 23:15","n/e","n/e","n/e","2405","2514","2921"
"02.01.2023 23:15 - 02.01.2023 23:30","n/e","n/e","n/e","2411","2498","2912"
"02.01.2023 23:30 - 02.01.2023 23:45","n/e","n/e","n/e","2419","2482","2909"
"02.01.2023 23:45 - 03.01.2023 00:00","n/e","n/e","n/e","2427","2470","2905"
"03.01.2023 00:00 - 03.01.2023 00:15","n/e","n/e","n/e","2389","2927","2927"
"03.01.2023 00:15 - 03.01.2023 00:30","n/e","n/e","n/e","2404","2919","2919"
"03.01.2023 00:30 - 03.01.2023 00:45","n/e","n/e","n/e","2419","2914","2914"
"03.01.2023 00:45 - 03.01.2023 01:00","n/e","n/e","n/e","2435","2914","2914"
"03.01.2023 01:00 - 03.01.2023 01:15","n/e","n/e","n/e","2446","3050","3050"
"03.01.2023 01:15 - 03.01.2023 01:30","n/e","n/e","n/e","2469","3048","3048"
"03.01.2023 01:30 - 03.01.2023 01:45","n/e","n/e","n/e","2499","3050","3050"
"03.01.2023 01:45 - 03.01.2023 02:00","n/e","n/e","n/e","2532","3056","3056"
"03.01.2023 02:00 - 03.01.2023 02:15","n/e","n/e","n/e","2569","3350","3350"
"03.01.2023 02:15 - 03.01.2023 02:30","n/e","n/e","n/e","2606","3335","3335"
"03.01.2023 02:30 - 03.01.2023 02:45","n/e","n/e","n/e","2641","3326","3326"
"03.01.2023 02:45 - 03.01.2023 03:00","n/e","n/e","n/e","2674","3324","3324"
"03.01.2023 03:00 - 03.01.2023 03:15","n/e","n/e","n/e","2713","3497","3497"
"03.01.2023 03:15 - 03.01.2023 03:30","n/e","n/e","n/e","2739","3498","3498"
"03.01.2023 03:30 - 03.01.2023 03:45","n/e","n/e","n/e","2762","3501","3501"
"03.01.2023 03:45 - 03.01.2023 04:00","n/e","n/e","n/e","2781","3506","3506"
"03.01.2023 04:00 - 03.01.2023 04:15","n/e","n/e","n/e","2798","3379","3379"
"03.01.2023 04:15 - 03.01.2023 04:30","n/e","n/e","n/e","2816","3394","3394"
"03.01.2023 04:30 - 03.01.2023 04:45","n/e","n/e","n/e","2837","3410","3410"
